"Journal Data Filtered By:  Selected Categories: PLANT SCIENCES Selected Editions: SCIE Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"WEED RESEARCH","WEED RES","0043-1737","1365-3180","PLANT SCIENCES - SCIE","3,954","2.117","Q3","0.69","14.47"%," 121/238 ","2.575","1.971","0.449"," 100/258 ","61.43","0.001","0.223","0.459","49.37","Q2","49","83.67"%,"14.8","10.1","41",
"Journal of Ethnobiology and Ethnomedicine","J ETHNOBIOL ETHNOMED","N/A","1746-4269","PLANT SCIENCES - SCIE","3,943","3.404","Q2","0.79","100"%," 68/238 ","4.044","2.908","0.7"," 83/258 ","68.02","0.002","0.415","0.597","71.64","Q2","70","98.57"%,"7.6","11.2","69",
"JOURNAL OF PLANT RESEARCH","J PLANT RES","0918-9440","1618-0860","PLANT SCIENCES - SCIE","3,879","3","Q2","0.75","18.91"%," 86/238 ","3.157","2.75","0.833"," 89/258 ","65.7","0.003","0.56","0.666","64.08","Q2","102","99.02"%,"8.9","11.7","101",
"JOURNAL OF PHYTOPATHOLOGY","J PHYTOPATHOL","0931-1785","1439-0434","PLANT SCIENCES - SCIE","3,760","1.826","Q3","0.44","3.4"%," 135/238 ","1.801","1.745","0.405"," 149/258 ","42.44","0.001","0.306","0.315","43.49","Q3","74","94.59"%,"12","10.2","70",
"PLANT MOLECULAR BIOLOGY REPORTER","PLANT MOL BIOL REP","0735-9640","1572-9818","PLANT SCIENCES - SCIE","3,689","1.816","Q3","0.42","10.44"%," 137/238 ","2.011","1.768","0.509"," 155/258 ","40.12","0.001","0.227","0.314","42.65","Q3","57","89.47"%,"9.5","9.4","51",
"ECONOMIC BOTANY","ECON BOT","0013-0001","1874-9364","PLANT SCIENCES - SCIE","3,681","2.351","Q2","0.52","22.78"%," 112/238 ","2.708","2.281","0.273"," 130/258 ","49.81","0.001","0.139","0.476","53.15","Q2","22","90.91"%,"22.7","10.3","20",
"PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY","PHYSIOL MOL PLANT P","0885-5765","N/A","PLANT SCIENCES - SCIE","3,560","2.741","Q2","0.75","5.74"%," 93/238 ","2.576","2.618","0.435"," 89/258 ","65.7","0.001","0.299","0.391","61.13","Q3","160","100"%,"13.7","9.3","160",
"JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH","J ASIAN NAT PROD RES","1028-6020","1477-2213","PLANT SCIENCES - SCIE","3,477","1.61","Q3","0.44","0"%," 150/238 ","1.591","1.54","0.444"," 149/258 ","42.44","0.002","0.394","0.243","37.18","Q4","135","100"%,"7.9","8.2","135",
"PHYCOLOGIA","PHYCOLOGIA","0031-8884","2330-2968","PLANT SCIENCES - SCIE","3,459","3.088","Q2","0.71","3.19"%," 82/238 ","2.594","2.912","0.524"," 95/258 ","63.37","0.002","0.368","0.578","65.76","Q2","63","100"%,"14.6","12.3","63",
"ANNALS OF THE MISSOURI BOTANICAL GARDEN","ANN MO BOT GARD","0026-6493","2162-4372","PLANT SCIENCES - SCIE","3,283","1.927","Q3","0.53","1.69"%," 131/238 ","2.206","1.902","0.556"," 128/258 ","50.58","0.001","0.126","0.607","45.17","Q2","18","100"%,"26.7","16.9","18",
"PHYSIOLOGY AND MOLECULAR BIOLOGY OF PLANTS","PHYSIOL MOL BIOL PLA","0971-5894","0974-0430","PLANT SCIENCES - SCIE","3,207","3.023","Q2","0.74","2.54"%," 84/238 ","3.442","2.916","0.575"," 92/258 ","64.53","0.002","0.533","0.464","64.92","Q2","200","91.5"%,"4.4","8.6","183",
"BOTANICAL REVIEW","BOT REV","0006-8101","1874-9372","PLANT SCIENCES - SCIE","3,169","4.581","Q1","0.88","11.48"%," 43/238 ","4.38","4.548","0.6"," 63/258 ","75.78","0.001","0.136","0.944","82.14","Q1","30","40"%,"22.4","12.8","12",
"IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT","IN VITRO CELL DEV-PL","1054-5476","1475-2689","PLANT SCIENCES - SCIE","3,153","2.347","Q2","0.5","8.33"%," 113/238 ","2.404","2.162","0.612"," 135/258 ","47.87","0.001","0.254","0.344","52.73","Q3","103","95.15"%,"10.7","9.1","98",
"Plant Genome","PLANT GENOME-US","N/A","1940-3372","PLANT SCIENCES - SCIE","3,083","4.219","Q1","1.02","80.23"%," 48/238 ","5.826","3.956","1.067"," 46/258 ","82.36","0.003","0.688","1.201","80.04","Q1","149","98.66"%,"5.5","8.2","147",
"PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS","PERSPECT PLANT ECOL","1433-8319","1433-8319","PLANT SCIENCES - SCIE","3,073","3.842","Q2","0.86","5.83"%," 60/238 ","4.106","3.579","0.815"," 67/258 ","74.22","0.002","0.434","0.989","75","Q1","27","88.89"%,"9.5","10.7","24",
"Crop Journal","CROP J","2095-5421","2214-5141","PLANT SCIENCES - SCIE","3,060","4.647","Q1","1.33","98.4"%," 40/238 ","5.781","4.497","2.014"," 23/258 ","91.28","0.003","0.684","0.957","83.4","Q1","140","86.43"%,"4.1","8.4","121",
"SYSTEMATIC BOTANY","SYST BOT","0363-6445","1548-2324","PLANT SCIENCES - SCIE","3,027","0.933","Q4","0.26","1.52"%," 199/238 ","1.142","0.844","0.176"," 209/258 ","19.19","0.001","0.292","0.329","16.6","Q3","85","100"%,"14.2","13.4","85",
"APPLIED VEGETATION SCIENCE","APPL VEG SCI","1402-2001","1654-109X","PLANT SCIENCES - SCIE","3,010","3.431","Q2","1.03","23.79"%," 65/238 ","3.905","3.115","0.461"," 42/258 ","83.91","0.002","0.49","0.764","72.9","Q1","76","100"%,"7.1","11.4","76",
"PLANT BIOSYSTEMS","PLANT BIOSYST","1126-3504","1724-5575","PLANT SCIENCES - SCIE","2,988","1.781","Q3","0.55","1.86"%," 142/238 ","1.89","1.685","0.312"," 122/258 ","52.91","0.002","0.477","0.311","40.55","Q3","77","98.7"%,"6.3","11.9","76",
"AoB Plants","AOB PLANTS","2041-2851","2041-2851","PLANT SCIENCES - SCIE","2,973","3.138","Q2","0.78","100"%," 79/238 ","3.472","3.031","0.423"," 86/258 ","66.86","0.003","0.612","0.744","67.02","Q2","71","94.37"%,"6.1","11.2","67",
"JOURNAL OF PLANT PATHOLOGY","J PLANT PATHOL","1125-4653","2239-7264","PLANT SCIENCES - SCIE","2,956","2.643","Q2","0.53","5.29"%," 100/238 ","2.257","2.535","0.258"," 128/258 ","50.58","0.002","0.458","0.427","58.19","Q2","128","98.44"%,"8","10.9","126",
"BOTANICA MARINA","BOT MAR","0006-8055","1437-4323","PLANT SCIENCES - SCIE","2,902","2.095","Q3","0.43","11.81"%," 122/238 ","1.894","1.958","0.224"," 152/258 ","41.28","0.001","0.184","0.368","48.95","Q3","49","95.92"%,"17.2","13.4","47",
"EUROPEAN JOURNAL OF PHYCOLOGY","EUR J PHYCOL","0967-0262","1469-4433","PLANT SCIENCES - SCIE","2,883","2.667","Q2","0.74","6.25"%," 98/238 ","3.257","2.528","0.75"," 92/258 ","64.53","0.001","0.307","0.657","59.03","Q2","36","100"%,"12.3","11.8","36",
"RUSSIAN JOURNAL OF PLANT PHYSIOLOGY","RUSS J PLANT PHYSL+","1021-4437","1608-3407","PLANT SCIENCES - SCIE","2,865","1.419","Q3","0.36","2.47"%," 161/238 ","1.636","1.295","0.319"," 179/258 ","30.81","0.001","0.228","0.212","32.56","Q4","138","91.3"%,"9.5","10.4","126",
"Journal of Essential Oil Bearing Plants","J ESSENT OIL BEAR PL","0972-060X","0976-5026","PLANT SCIENCES - SCIE","2,863","1.971","Q3","0.49","0"%," 127/238 ","1.691","1.423","0.481"," 136/258 ","47.48","0.001","0.312","0.18","46.85","Q4","108","99.07"%,"5.8","8.2","107",
"CANADIAN JOURNAL OF PLANT PATHOLOGY","CAN J PLANT PATHOL","0706-0661","1715-2992","PLANT SCIENCES - SCIE","2,725","2.074","Q3","0.51","13.92"%," 123/238 ","2.057","1.735","0.707"," 132/258 ","49.03","0.001","0.236","0.333","48.53","Q3","75","93.33"%,"11.8","10.3","70",
"Journal of Plant Ecology","J PLANT ECOL","1752-9921","1752-993X","PLANT SCIENCES - SCIE","2,639","1.78","Q3","0.57","8.42"%," 143/238 ","2.674","1.707","0.617"," 115/258 ","55.62","0.002","0.519","0.563","40.13","Q2","94","97.87"%,"6.2","10","92",
"BREEDING SCIENCE","BREEDING SCI","1344-7610","1347-3735","PLANT SCIENCES - SCIE","2,608","2.014","Q3","0.51","100"%," 124/238 ","2.716","1.891","0.6"," 132/258 ","49.03","0.002","0.359","0.492","48.11","Q2","55","76.36"%,"7.7","10.1","42",
"AUSTRALASIAN PLANT PATHOLOGY","AUSTRALAS PLANT PATH","0815-3191","1448-6032","PLANT SCIENCES - SCIE","2,550","1.4","Q3","0.38","4.33"%," 164/238 ","1.651","1.329","0.211"," 169/258 ","34.69","0.001","0.224","0.303","31.3","Q3","76","94.74"%,"11.3","11.7","72",
"Journal of Plant Interactions","J PLANT INTERACT","1742-9145","1742-9153","PLANT SCIENCES - SCIE","2,544","4.029","Q1","1.05","100"%," 51/238 ","5.124","3.864","0.615"," 38/258 ","85.47","0.002","0.33","0.654","78.78","Q2","52","98.08"%,"5.5","8.2","51",
"VEGETATION HISTORY AND ARCHAEOBOTANY","VEG HIST ARCHAEOBOT","0939-6314","1617-6278","PLANT SCIENCES - SCIE","2,513","2.552","Q2","0.87","31.79"%," 104/238 ","2.767","2.32","0.625"," 65/258 ","75","0.002","0.418","0.775","56.51","Q1","48","95.83"%,"10.2","12.8","46",
"Journal of Systematics and Evolution","J SYST EVOL","1674-4918","1759-6831","PLANT SCIENCES - SCIE","2,470","3.544","Q2","0.95","9.4"%," 63/238 ","4.28","2.984","1.94"," 56/258 ","78.49","0.003","0.721","1.083","73.74","Q1","84","98.81"%,"5","11.3","83",
"Advances in Botanical Research","ADV BOT RES","0065-2296","2162-5948","PLANT SCIENCES - SCIE","2,331","2.878","Q2","0.25","0"%," 87/238 ","3.413","2.77","0.932"," 212/258 ","18.02","0.001","0.264","0.664","63.66","Q2","44","0"%,"10.1","7.7","0",
"Botany","BOTANY","1916-2790","1916-2804","PLANT SCIENCES - SCIE","2,213","1.361","Q3","0.39","3.19"%," 169/238 ","1.659","1.32","0.364"," 166/258 ","35.85","0.001","0.273","0.337","29.2","Q3","66","98.48"%,"8.3","13.2","65",
"Acta Botanica Brasilica","ACTA BOT BRAS","0102-3306","1677-941X","PLANT SCIENCES - SCIE","2,180","1.395","Q3","0.38","94.04"%," 166/238 ","1.753","1.316","0.364"," 169/258 ","34.69","0.001","0.285","0.38","30.46","Q3","66","98.48"%,"10","12.4","65",
"PHYTOPARASITICA","PHYTOPARASITICA","0334-2123","1876-7184","PLANT SCIENCES - SCIE","2,164","1.809","Q3","0.54","3.14"%," 139/238 ","1.825","1.682","0.51"," 124/258 ","52.13","0.001","0.231","0.317","41.81","Q3","98","97.96"%,"9.4","11.5","96",
"PHYTOPATHOLOGIA MEDITERRANEA","PHYTOPATHOL MEDITERR","0031-9465","N/A","PLANT SCIENCES - SCIE","2,074","1.788","Q3","0.57","26.9"%," 141/238 ","2.605","1.635","0.463"," 115/258 ","55.62","0.001","0.174","0.385","40.97","Q3","41","95.12"%,"9.9","11.1","39",
"NOVA HEDWIGIA","NOVA HEDWIGIA","0029-5035","2363-7188","PLANT SCIENCES - SCIE","2,065","1.254","Q4","0.3","0.59"%," 179/238 ","1.109","1.123","0.268"," 194/258 ","25","0.001","0.175","0.278","25","Q3","56","98.21"%,"14.6","12.8","55",
"Brazilian Journal of Botany","BRAZ J BOT","0100-8404","1806-9959","PLANT SCIENCES - SCIE","2,018","1.368","Q3","0.35","2.72"%," 168/238 ","1.566","1.288","0.543"," 180/258 ","30.43","0.001","0.265","0.282","29.62","Q3","94","88.3"%,"8.2","11.7","83",
"ACTA AMAZONICA","ACTA AMAZON","0044-5967","1809-4392","PLANT SCIENCES - SCIE","1,996","1.091","Q4","0.41","100"%," 190/238 ","1.479","1.04","0.239"," 161/258 ","37.79","0.001","0.164","0.333","20.38","Q3","46","97.83"%,"13.4","9.5","45",
"SEED SCIENCE RESEARCH","SEED SCI RES","0960-2585","1475-2735","PLANT SCIENCES - SCIE","1,988","1.585","Q3","0.45","7"%," 152/238 ","1.923","1.508","0.4"," 144/258 ","44.38","0.001","0.121","0.354","36.34","Q3","35","91.43"%,"14.6","13.8","32",
"Notulae Botanicae Horti Agrobotanici Cluj-Napoca","NOT BOT HORTI AGROBO","0255-965X","1842-4309","PLANT SCIENCES - SCIE","1,982","1.249","Q4","0.38","84.02"%," 180/238 ","1.472","1.224","0.325"," 169/258 ","34.69","0.001","0.234","0.186","24.58","Q4","160","87.5"%,"6.2","8.7","140",
"JOURNAL OF PLANT BIOLOGY","J PLANT BIOL","1226-9239","1867-0725","PLANT SCIENCES - SCIE","1,929","3.15","Q2","0.54","1.96"%," 77/238 ","2.659","3.06","0.566"," 124/258 ","52.13","0.001","0.221","0.407","67.86","Q3","53","98.11"%,"7.7","10.1","52",
"Plant Pathology Journal","PLANT PATHOLOGY J","1598-2254","2093-9280","PLANT SCIENCES - SCIE","1,883","2.321","Q2","0.66","99.49"%," 114/238 ","2.541","2.224","0.281"," 106/258 ","59.11","0.001","0.281","0.418","52.31","Q2","64","95.31"%,"6.4","10.1","61",
"Indian Journal of Traditional Knowledge","INDIAN J TRADIT KNOW","0972-5938","0975-1068","PLANT SCIENCES - SCIE","1,794","1.091","Q4","0.27","0"%," 190/238 ","0.983","0.77","0.138"," 206/258 ","20.35","0.001","0.13","0.121","20.38","Q4","123","99.19"%,"9.9","11.6","122",
"Rice Science","RICE SCI","1672-6308","1876-4762","PLANT SCIENCES - SCIE","1,794","4.412","Q1","1.07","99.24"%," 45/238 ","5.026","4.165","1.37"," 36/258 ","86.24","0.001","0.318","0.798","81.3","Q1","46","78.26"%,"5","9.1","36",
"NORDIC JOURNAL OF BOTANY","NORD J BOT","0107-055X","1756-1051","PLANT SCIENCES - SCIE","1,778","0.931","Q4","0.23","6.03"%," 200/238 ","0.903","0.857","0.2"," 217/258 ","16.09","0.001","0.242","0.218","16.18","Q4","145","100"%,"10.3","12.7","145",
"TURKISH JOURNAL OF BOTANY","TURK J BOT","1300-008X","1303-6106","PLANT SCIENCES - SCIE","1,637","1.429","Q3","0.42","0.53"%," 160/238 ","1.425","1.302","0.323"," 155/258 ","40.12","0.001","0.176","0.269","32.98","Q3","62","85.48"%,"8.2","9.5","53",
"KEW BULLETIN","KEW BULL","0075-5974","1874-933X","PLANT SCIENCES - SCIE","1,628","0.813","Q4","0.27","37.5"%," 209/238 ","0.825","0.758","0.313"," 206/258 ","20.35","0.001","0.14","0.241","12.39","Q4","64","98.44"%,"21.2","18.4","63",
"JOURNAL OF GENERAL PLANT PATHOLOGY","J GEN PLANT PATHOL","1345-2630","1610-739X","PLANT SCIENCES - SCIE","1,619","1.217","Q4","0.34","1.98"%," 181/238 ","1.492","1.094","0.297"," 182/258 ","29.65","0.001","0.159","0.257","24.16","Q3","64","98.44"%,"8.9","11.2","63",
"BRYOLOGIST","BRYOLOGIST","0007-2745","1938-4378","PLANT SCIENCES - SCIE","1,603","1.177","Q4","0.41","0"%," 184/238 ","1.561","0.962","0.244"," 161/258 ","37.79","0.001","0.129","0.367","22.9","Q3","41","100"%,"18.6","13.6","41",
"LICHENOLOGIST","LICHENOLOGIST","0024-2829","1096-1135","PLANT SCIENCES - SCIE","1,575","1.651","Q3","0.52","15.69"%," 148/238 ","1.812","1.222","0.333"," 130/258 ","49.81","0.001","0.161","0.393","38.03","Q3","39","89.74"%,"12.8","12.6","35",
"Applications in Plant Sciences","APPL PLANT SCI","2168-0450","2168-0450","PLANT SCIENCES - SCIE","1,562","2.511","Q2","0.57","97.01"%," 106/238 ","2.353","2.311","2.063"," 115/258 ","55.62","0.002","0.444","0.548","55.67","Q2","32","93.75"%,"4.9","6.7","30",
"SEED SCIENCE AND TECHNOLOGY","SEED SCI TECHNOL","0251-0952","1819-5717","PLANT SCIENCES - SCIE","1,486","0.797","Q4","0.4","98.99"%," 210/238 ","0.794","0.77","0.88"," 163/258 ","37.02","0","0.067","0.135","11.97","Q4","25","92"%,"16.2","9.8","23",
"Plant Biotechnology","PLANT BIOTECHNOL-NAR","1342-4580","N/A","PLANT SCIENCES - SCIE","1,480","1.308","Q3","0.3","100"%," 176/238 ","1.621","1.212","0.183"," 194/258 ","25","0.001","0.138","0.29","26.26","Q3","60","96.67"%,"9.7","11.3","58",
"Planta Daninha","PLANTA DANINHA","0100-8358","1806-9681","PLANT SCIENCES - SCIE","1,453","0.859","Q4","0.18","93.95"%," 206/238 ","0.998","0.859","N/A"," 229/258 ","11.43","0.001","0.217","0.186","13.66","Q4","0","N/A","7.8","N/A","0",
"Botanical Studies","BOT STUD","N/A","1999-3110","PLANT SCIENCES - SCIE","1,449","2.673","Q2","0.71","98.72"%," 97/238 ","3.265","2.673","0.565"," 95/258 ","63.37","0.001","0.198","0.526","59.45","Q2","23","86.96"%,"7.1","10.8","20",
"PALYNOLOGY","PALYNOLOGY","0191-6122","1558-9188","PLANT SCIENCES - SCIE","1,436","1.949","Q3","0.72","4.43"%," 129/238 ","2.083","1.624","0.634"," 94/258 ","63.76","0.001","0.245","0.474","46.01","Q2","41","100"%,"9.4","21.6","41",
"Records of Natural Products","REC NAT PROD","1307-6167","1307-6167","PLANT SCIENCES - SCIE","1,389","2","Q3","0.48","98.14"%," 125/238 ","1.917","1.608","0.621"," 140/258 ","45.93","0.001","0.172","0.236","47.69","Q4","95","92.63"%,"5.6","10.1","88",
"GRANA","GRANA","0017-3134","1651-2049","PLANT SCIENCES - SCIE","1,371","0.907","Q4","0.29","8.33"%," 203/238 ","1.131","0.791","0.273"," 200/258 ","22.67","0","0.085","0.25","14.92","Q4","22","95.45"%,"19.9","15.7","21",
"Tropical Plant Pathology","TROP PLANT PATHOL","1983-2052","1983-2052","PLANT SCIENCES - SCIE","1,333","2.404","Q2","0.45","3.69"%," 111/238 ","2.172","2.315","0.31"," 144/258 ","44.38","0.001","0.283","0.42","53.57","Q2","71","88.73"%,"5.2","11","63",
"Plant Biotechnology Reports","PLANT BIOTECHNOL REP","1863-5466","1863-5474","PLANT SCIENCES - SCIE","1,320","2.496","Q2","0.48","3.96"%," 107/238 ","2.406","2.344","0.324"," 140/258 ","45.93","0.001","0.171","0.338","55.25","Q3","71","85.92"%,"6.4","9.4","61",
"NEW ZEALAND JOURNAL OF BOTANY","NEW ZEAL J BOT","0028-825X","1175-8643","PLANT SCIENCES - SCIE","1,301","1.016","Q4","0.28","1.03"%," 196/238 ","1.18","0.825","0.794"," 202/258 ","21.9","0","0.075","0.23","17.86","Q4","34","94.12"%,"22.2","15.5","32",
"Journal of Plant Diseases and Protection","J PLANT DIS PROTECT","1861-3829","1861-3837","PLANT SCIENCES - SCIE","1,296","1.847","Q3","0.57","15.67"%," 134/238 ","1.933","1.703","0.359"," 115/258 ","55.62","0.001","0.241","0.306","43.91","Q3","142","90.14"%,"4.3","10.3","128",
"PhytoKeys","PHYTOKEYS","1314-2011","1314-2003","PLANT SCIENCES - SCIE","1,288","1.317","Q3","0.42","97.83"%," 174/238 ","1.49","1.162","0.353"," 155/258 ","40.12","0.003","0.551","0.403","27.1","Q3","150","99.33"%,"3.6","14.4","149",
"FOLIA GEOBOTANICA","FOLIA GEOBOT","1211-9520","1874-9348","PLANT SCIENCES - SCIE","1,276","1.721","Q3","0.42","15.87"%," 146/238 ","1.82","1.721","0.4"," 155/258 ","40.12","0.001","0.112","0.398","38.87","Q3","20","100"%,"14.2","13.6","20",
"PRESLIA","PRESLIA","0032-7786","2570-950X","PLANT SCIENCES - SCIE","1,209","2.233","Q2","0.86","97.73"%," 116/238 ","3.541","1.8","0.786"," 67/258 ","74.22","0.001","0.114","0.759","51.47","Q2","14","100"%,"9.9","13.5","14",
"CARYOLOGIA","CARYOLOGIA","0008-7114","2165-5391","PLANT SCIENCES - SCIE","1,180","0.69","Q4","0.23","26.42"%," 213/238 ","1.128","0.58","1.61"," 217/258 ","16.09","0","0.075","0.147","10.71","Q4","59","100"%,"11.7","13.2","59",
"Rhizosphere","RHIZOSPHERE-NETH","N/A","2452-2198","PLANT SCIENCES - SCIE","1,124","3.437","Q2","0.93","3.03"%," 64/238 ","N/A","2.992","0.865"," 57/258 ","78.1","0.001","0.271","N/A","73.32","N/A","171","98.83"%,"2.9","8.6","169",
"JOURNAL OF PLANT BIOCHEMISTRY AND BIOTECHNOLOGY","J PLANT BIOCHEM BIOT","0971-7811","0974-1275","PLANT SCIENCES - SCIE","1,122","1.525","Q3","0.3","2.2"%," 155/238 ","1.344","1.451","0.559"," 194/258 ","25","0.001","0.12","0.189","35.08","Q4","111","85.59"%,"6.9","9.3","95",
"BRITTONIA","BRITTONIA","0007-196X","1938-436X","PLANT SCIENCES - SCIE","1,120","0.758","Q4","0.25","0.75"%," 212/238 ","0.772","0.648","0.238"," 212/258 ","18.02","0.001","0.107","0.222","11.13","Q4","42","100"%,"23.1","13.7","42",
"ALGAE","ALGAE-SEOUL","1226-2617","2093-0860","PLANT SCIENCES - SCIE","1,116","2.839","Q2","0.71","100"%," 88/238 ","3.236","2.107","0.962"," 95/258 ","63.37","0.001","0.155","0.517","63.24","Q2","26","88.46"%,"7.3","11.4","23",
"Journal of Applied Research on Medicinal and Aromatic Plants","J APPL RES MED AROMA","N/A","2214-7861","PLANT SCIENCES - SCIE","1,101","3.945","Q1","0.84","0.65"%," 56/238 ","3.923","3.726","0.963"," 72/258 ","72.29","0.001","0.215","0.51","76.68","Q2","81","95.06"%,"3.9","9","77",
"European Journal of Taxonomy","EUR J TAXON","N/A","2118-9773","PLANT SCIENCES - SCIE","1,090","1.398","Q3","0.6","96.19"%," 165/238 ","1.437","1.281","0.457"," 111/258 ","57.17","0.002","0.489","0.409","30.88","Q2","199","90.45"%,"3.5","18.6","180",
"ANNALES BOTANICI FENNICI","ANN BOT FENN","0003-3847","1797-2442","PLANT SCIENCES - SCIE","1,066","0.578","Q4","0.2","0"%," 220/238 ","0.665","0.52","0.159"," 226/258 ","12.6","0","0.084","0.166","7.77","Q4","44","100"%,"14.4","20.4","44",
"ACTA SOCIETATIS BOTANICORUM POLONIAE","ACTA SOC BOT POL","0001-6977","2083-9480","PLANT SCIENCES - SCIE","1,049","1.123","Q4","0.31","100"%," 185/238 ","1.387","1.053","0.25"," 190/258 ","26.55","0","0.092","0.251","22.48","Q3","12","100"%,"9.8","12","12",
"Plant Genetic Resources-Characterization and Utilization","PLANT GENET RESOUR-C","1479-2621","1479-263X","PLANT SCIENCES - SCIE","1,020","1.279","Q3","0.32","4.51"%," 178/238 ","1.288","1.234","0.682"," 188/258 ","27.33","0.001","0.124","0.219","25.42","Q4","22","100"%,"8.5","9.8","22",
"Plant Direct","PLANT DIRECT","N/A","2475-4455","PLANT SCIENCES - SCIE","1,002","3.369","Q2","0.86","95.75"%," 70/238 ","3.457","3.337","0.5"," 67/258 ","74.22","0.002","0.452","0.801","70.8","Q1","72","100"%,"2.6","9.7","72",
"PLANT SPECIES BIOLOGY","PLANT SPEC BIOL","0913-557X","1442-1984","PLANT SCIENCES - SCIE","963","1.821","Q3","0.42","10.53"%," 136/238 ","1.944","1.321","0.744"," 155/258 ","40.12","0","0.101","0.349","43.07","Q3","39","97.44"%,"9.9","13.6","38",
"Journal of Plant Registrations","J PLANT REGIST","1936-5209","1940-3496","PLANT SCIENCES - SCIE","956","0.902","Q4","0.31","9.8"%," 204/238 ","0.958","0.608","0.667"," 190/258 ","26.55","0","0.09","0.133","14.5","Q4","102","100"%,"7.3","12.4","102",
"JOURNAL OF APPLIED BOTANY AND FOOD QUALITY","J APPL BOT FOOD QUAL","1439-040X","1439-040X","PLANT SCIENCES - SCIE","950","1.483","Q3","0.37","0"%," 158/238 ","1.818","1.448","0.13"," 175/258 ","32.36","0","0.096","0.221","33.82","Q4","23","100"%,"6.8","9.1","23",
"AUSTRALIAN SYSTEMATIC BOTANY","AUST SYST BOT","1030-1887","1446-5701","PLANT SCIENCES - SCIE","949","1.765","Q3","0.4","14.71"%," 144/238 ","1.562","1.725","0.294"," 163/258 ","37.02","0.001","0.136","0.488","39.71","Q2","17","100"%,"15.1","16","17",
"INDIAN JOURNAL OF GENETICS AND PLANT BREEDING","INDIAN J GENET PL BR","0019-5200","0975-6906","PLANT SCIENCES - SCIE","933","1.339","Q3","0.24","0"%," 172/238 ","0.955","1.047","0.343"," 215/258 ","16.86","0","0.096","0.134","27.94","Q4","35","100"%,"8.6","12.5","35",
"Plant Diversity","PLANT DIVERSITY","2096-2703","2468-2659","PLANT SCIENCES - SCIE","912","3.359","Q2","0.8","96.64"%," 71/238 ","N/A","3.174","1.474"," 79/258 ","69.57","0.001","0.32","N/A","70.38","N/A","57","98.25"%,"3.5","10","56",
"Invasive Plant Science and Management","INVAS PLANT SCI MANA","1939-7291","1939-747X","PLANT SCIENCES - SCIE","906","1.333","Q3","0.32","21.74"%," 173/238 ","1.559","1.133","0.156"," 188/258 ","27.33","0","0.105","0.34","27.52","Q3","32","100"%,"8.7","12.2","32",
"MAYDICA","MAYDICA","0025-6153","2279-8013","PLANT SCIENCES - SCIE","882","0.914","Q4","0.14","0"%," 201/238 ","1.007","0.845","0.182"," 247/258 ","4.46","0","0.054","0.175","15.76","Q4","22","100"%,"14.2","12.1","22",
"Plant Reproduction","PLANT REPROD","2194-7953","2194-7961","PLANT SCIENCES - SCIE","838","4.217","Q1","0.98","41.77"%," 49/238 ","4.805","4.087","0.606"," 51/258 ","80.43","0.001","0.244","1.02","79.62","Q1","33","78.79"%,"4.2","8.3","26",
"JOURNAL OF BRYOLOGY","J BRYOL","0373-6687","1743-2820","PLANT SCIENCES - SCIE","820","1.667","Q3","0.47","2.78"%," 147/238 ","1.282","1.321","0.533"," 143/258 ","44.77","0.001","0.115","0.274","38.45","Q3","30","100"%,"10","12.4","30",
"JOURNAL OF THE TORREY BOTANICAL SOCIETY","J TORREY BOT SOC","1095-5674","1940-0616","PLANT SCIENCES - SCIE","798","0.492","Q4","0.15","0"%," 225/238 ","0.643","0.492","0.087"," 243/258 ","6.01","0","0.05","0.143","5.67","Q4","23","95.65"%,"13.9","16.1","22",
"Horticultural Plant Journal","HORTIC PLANT J","2095-9885","2468-0141","PLANT SCIENCES - SCIE","791","4.24","Q1","1.05","100"%," 47/238 ","N/A","3.493","1.259"," 38/258 ","85.47","0.001","0.186","N/A","80.46","N/A","58","98.28"%,"3","8.4","57",
"BLUMEA","BLUMEA","0006-5196","0373-4293","PLANT SCIENCES - SCIE","765","0.784","Q4","0.25","100"%," 211/238 ","0.73","0.725","0.2"," 212/258 ","18.02","0","0.054","0.218","11.55","Q4","15","100"%,"18.8","25","15",
"Journal of Berry Research","J BERRY RES","1878-5093","1878-5123","PLANT SCIENCES - SCIE","747","2.156","Q3","0.6","4.48"%," 120/238 ","2.459","2.022","0.75"," 111/258 ","57.17","0","0.094","0.268","49.79","Q3","44","90.91"%,"5.2","8.6","40",
"Plant Communications","PLANT COMMUN","2590-3462","2590-3462","PLANT SCIENCES - SCIE","743","8.625","Q1","1.55","98.35"%," 11/238 ","8.625","8.344","3.316"," 17/258 ","93.6","0.001","0.316","2.435","95.59","Q1","57","57.89"%,"1.3","6.8","33",
